en	phonetic	cn	example	exampleCn	synonym	root
incident	/ˈɪnsɪdənt/	n. 发生的事， 事件	Am I at risk because of some incident in my sexual past?	我过去性生活中的某件事会使我处于危险境地吗？	同义：event, circumstance, occurrence, scene	同根：incidental 附带的；偶然的；容易发生的；incidentally 顺便；偶然地；附带地；incidence 发生率；影响；[光] 入射；影响范围
maintenance	/ˈmentənəns/	n. 维持； 保养； 抚养费	the cost of repairs and maintenance	维修保养费	同义：conservation, keep	同根：maintainable 可维持的；可主张的；可维修的；maintainer 维修工；保持器；maintain 维持；继续；维修；主张；供养
marry	/ˈmæri/	v. 娶， 嫁； 为…证婚； 结婚， 结合	He married Bea in 1925.	他在1925年娶了贝亚。	同义：go to the world, be married to, get married, tie the knot	同根：married 已婚的，有配偶的；婚姻的，夫妇的；密切结合的；marriageable 可结婚的，适合结婚的；marriage 结婚；婚姻生活；密切结合，合并
decay	/dɪˈke/	vi. 腐烂；衰败 n. 腐烂	Her body was already starting to decay.	她的尸体已经开始腐烂。	同义：fail, flag, recession, downturn	同根：decayed 腐烂的；腐败的；衰退的；decayed 腐烂；衰退（decay的过去分词）
supply	/səˈplaɪ/	n&vt. 供给， 供应	The nation’s fuel supplies will not last forever.	这个国家的燃料供应不会无穷无尽。	同义：provision, furnishing, afford, tender	同根：supplementary 补充的；追加的；supplemental 补充的（等于supplementary）；追加的；supplying 供应的
liberty	/ˈlɪbɚti/	n. 自由； 许可， 准许； 过于随便， 放肆	...the ideal of equality and the appreciation of liberty.	…对平等的向往及对自由的欣赏。	同义：freedom, permission, leave	同根：libertine 放荡的；libertarian 自由的；自由论者的；持自由论的；liberally 大方地；自由地；公平地；充足地
liable	/ˈlaɪəbl/	adj. 易于…的； 可能的	The car is liable to overheat on long trips.	这辆汽车跑长途容易过热。	同义：responsible, bound, accountable, prone	同根：liability 责任；债务；倾向
cargo	/ˈkɑrɡo/	n. 船货， 货物	a cargo plane	货机	同义：commodity, freight, merchandise	
confidential	/,kɑnfɪˈdɛnʃl/	adj. 秘密的， 机密的； 亲信的	a confidential government report	一份机密的政府报告	同义：classified, secret	同根：confidence （美）诈骗的；骗得信任的；confidentially 秘密地；作为心腹话地；confidingly 信任地
drift	/drɪft/	vi. 漂流，漂泊 n. 漂流； 大意， 主旨； 趋势	Smoke drifted up from the jungle ahead of us.	我们前方的丛林里有烟升起。	同义：tendency, direction, tide, trend	同根：drifting 漂流的；飘动的；drifting 漂流；漂流物；drifter 流浪汉；漂流物；漂网渔船
element	/ˈɛləmənt/	n. 成分， 要素， 元素； 基础， 纲要； 自然力	Business and management elements are built into the course.	本课程加入了商务和管理方面的内容。	同义：theory, mechanism, factor, basic	同根：elementary 基本的；初级的；[化学] 元素的；elemental 基本的；主要的；自然力的；四大要素的（土、水、气、火）
chaos	/ˈkeɑs/	n. 混乱， 紊乱	The country was plunged into economic chaos.	这个国家陷入了经济大混乱。	同义：disorder, confusion, involvement, mix	
mankind	/mænˈkaɪnd/	n. 人类	Since earliest times, mankind has been fascinated by fire.	人类自远古以来就对火很感兴趣。	同义：humanity, people	
pace	/pes/	vi. 踱步 n. 步，步速；速度；节奏	I found Mark at the hospital, pacing restlessly up and down .	我看见马克在医院里焦躁不安地踱来踱去。	同义：footwork	同根：pacy 进展迅速的；运动快的；pacing [测] 步测；步调；pacer 步测者；溜蹄的马；定速装置
exclaim	/ɪkˈsklem/	vi. 呼喊， 惊叫	‘No!’ she exclaimed in shock.	“不！”她惊呼道。	同义：bay, shout	
probable	/ˈprɑbəbl/	adj. 很可能的， 大概的	The probable cause of the fire was faulty wiring.	起火的原因很可能是电路故障。	同义：likely, trusted, authentic	同根：probably 大概；或许；很可能；probability 可能性；机率；[数] 或然率
forecast	/ˈfɔrkæst/	v. 预测， 预报 n. 预测，预报	Rain was forecast for the weekend.	预报周末有雨。	同义：predict, indicate, calculate, shadow	同根：forecasting 预测；forecaster 预报员；forecasting 预言；作预告（forecast的ing形式）
uncover	/ʌnˈkʌvɚ/	vt. 揭露， 暴露； 揭开…的盖子	Customs officials uncovered a plot to smuggle weapons into the country.	海关官员侦破了一个走私武器入境的阴谋。	同义：detect, reveal, to discover, sniff out	同根：uncovered 无覆盖物的；[保险] 未保险的；无盖的；uncovered 揭露（uncover的过去分词）；脱帽致敬；移去覆盖物
recognize	/ˈrɛkəɡˌnaɪz/	vt. 认出， 识别； 承认； 赏识， 表彰， 报偿	I didn’t recognize you in your uniform.	你穿上制服我认不出你了。	同义：identify, spot, accept, agree	同根：recognized 公认的；经过验证的；recognised 认可的；recognizable 可辨认的；可认识的；可承认的
pack	/pæk/	vt. 捆扎，把…打包；使挤在一起，塞满 n. 包， 小盒	I forgot to pack my razor.	我忘记把剃须刀放入行李包了。	同义：pair, casing, impact, select	同根：package 一揽子的；packed （常用来构成复合词）充满…的，塞满了…的；packaged 包装过的
restraint	/rɪˈstrent/	n. 抑制， 限制， 克制； 约束措施， 约束条件	The police were praised for their restraint in handling the demonstrators.	警方因对待示威者时所表现出的克制而受到赞扬。	同义：checking, control, suppression, inhibition	同根：restrained 克制的，受限制的；拘谨的；restrainer [摄] 抑制剂（尤指摄影中用的溴化钾等）；限制器；控制者；restrained 抑制；约束（restrain的过去分词）
input	/ˈɪnˈpʊt/	n. 输入；投入的资金；输入的数据 vt. 把…输入计算机	If the input data specified it, the file will close and the process terminates.	如果输入数据指定，该文件就会关闭，数据处理终止。	同义：investment, introjection, type in, carry in	
cue	/kju/	n. 暗示，信号；提示 vt. 提示； 暗示	She stood nervously in the wings waiting for her cue.	她紧张地站在台侧等待出场的提示。	同义：connotation, implication, reminder	
volt	/volt/	n. 伏特， 伏	That is one electron volt.	就是一单位的电子伏特。	同义：jook	同根：voltmeter [电] 伏特计，电压计
reality	/rɪˈæləti/	n. 现实， 实际； 真实	the distinction between fantasy and reality	幻想和现实之间的区别	同义：fact, actuality, sincerity, true	同根：real 实际的；真实的；实在的；realized 实现的；已实现；realizable [数] 可实现的；可实行的；可感觉到的
stereotype	/ˈstɛrɪətaɪp/	n. 陈规，老套，固定的模式；铅版 vt. 把…浇铸成铅版； 对…形成固定看法	There's always been a stereotype about successful businessmen.	对成功的商人们总有一种成见。	同义：truism, conventionality	同根：stereotyped 用铅版印刷的；老一套的；stereotyped 把…浇铸成铅版；使成为陈规（stereotype的过去分词）；sterilize 消毒，杀菌；使成不毛；使绝育；使不起作用
enroll	/ɪnˈrol/	vi. 入学，加入 vt. 招收， 吸收	And, with the rise of online education, you can even enroll in certified programs that allow you to learn and improve your career during your off-hours.	并且，随着在线教育的崛起，你甚至可以参加认证课程，在下班工夫里学习和改善本人的职业生涯。	同义：register, book in, participate in, take part in	同根：enrollment 登记；入伍；enrolment 登记，注册；入学；enrolled 登记（入会；卷）
offend	/əˈfɛnd/	vt. 冒犯， 伤害…的感情； 使厌恶； 违反	His remarks deeply offended many Scottish people.	他的话严重冒犯了许多苏格兰人。	同义：give offense, gross out, vary, be in breach of	同根：offensive 攻击的；冒犯的；无礼的；讨厌的；offending 不愉快的；厌恶的；offenseless 无攻击力的；不惹人的
molecule	/ˈmɑlɪkjul/	n. 分子	The molecules of oxygen gas contain just two atoms.	氧分子中只有两个原子。	同义：numerator of a fraction, microne	
resign	/rɪˈzaɪn/	vi. 辞职 vt. 辞去， 放弃； 使听从， 使顺从	A hospital administrator has resigned over claims he lied to get the job.	一位医院主管因为有人声称他的职位是骗来的而辞职了。	同义：yield, desert, refer, quit	同根：resigned 顺从的；已辞职的；己放弃的；resignedly 听从地；服从地；resignation 辞职；放弃；辞职书；顺从
bathe	/beð/	v. 洗澡； 游泳	I bathed, washed my hair, and got dressed.	我洗了澡，洗了头，然后穿上衣服。	同义：lave, wash oneself, have a bath, swim	同根：bath 沐浴；浴室；浴盆；bathing 沐浴；游泳；洗海水澡；bather 入浴者；游泳者；浴疗者
workman	/ˈwɝkmən/	n. 工人， 劳动者， 工匠	In University Square workmen are building a steel fence.	在大学广场工人们正在筑一个钢栅栏。	同义：artisan, craftsman	同根：workmanlike 技术熟练的；精工细作的；workmanship 手艺，工艺；技巧
sophisticated	/səˈfɪstɪketɪd/	adj. 老于世故的； 高级的； 精密的， 复杂的； 高雅的	sophisticated software	很先进的软件	同义：complicated, experienced, involved, detailed	同根：sophomore 二年级的；二年级学生的；sophisticatedly 老练地；sophomore 大学二年级生；（美）有二年经验的人
sunrise	/ˈsʌnraɪz/	n. 日出； 朝霞	a picture of sunrise over Mount Fuji	富士山日出的照片	同义：morning, sunup	
entertainment	/ˌɛntɚˈtenmənt/	n. 娱乐， 文娱节目， 表演会； 招待， 款待， 请客	The town provides a wide choice of entertainment.	该镇提供各式各样的娱乐活动。	同义：recreation, pleasure, sport, occupation	同根：entertaining 令人愉快的；entertaining 款待（entertain的ing形式）；entertain 款待
starve	/stɑrv/	v. 挨饿， 饿死	Thousands of people will starve if food doesn’t reach the city.	如果食品不能运到那座城市，成千上万的人就要饿死。	同义：rare, die form hunger, famish	同根：starving 饥饿的；挨饿的；starveling 挨饿的，饥饿的；饿瘦了的；贫穷的；starvation 饿死；挨饿；绝食
battery	/ˈbæt(ə)rɪ/	n. 电池， 蓄电池； 排炮， 炮组； 一系列， 一套	You have to take the top off to change the batteries .	你得把顶盖拿掉才能更换电池。	同义：electric cell, electric element	
chase	/tʃeɪs/	v. 追逐， 追赶； 追求	The dogs saw him running and chased him.	那些狗看到他在跑就追他。	同义：go after, track down, pursue, go after	同根：chaser 驱逐舰；猎人；饮烈酒后喝的饮料；[机] 螺纹梳刀
marine	/məˈrin/	adj. 海的， 海生的； 海事的， 海军的， 海运的 n. 海军陆战队士兵	the enormous variety of marine life	海洋生物繁多的种类	同义：nautical, sea-born, shipping industry, bluejacket	同根：mariner 水手；船员
clay	/kle/	n. 黏土， 泥土； 肉体	...the heavy clay soils of Georgia.	…佐治亚州厚重的黏土的土壤。	同义：earth, flesh, dirt	同根：clayey 黏土的；粘土状的；含粘土的；clayware 黏土制品
anyway	/ˈɛnɪˈwe/	adv. 无论如何， 至少； 不论以何种方式， 无论从什么角度	Let’s think about it for a while, for a few days anyway.	让我们想一想，至少考虑几天。	同义：however, anyhow	同根：anyhow 总之；无论如何；不管怎样；anywhere 在任何地方；无论何处；anywhere 任何地方
promote	/prəˈmot/	vt. 促进， 增进， 发扬； 提升； 宣传， 推销	You don't have to sacrifice environmental protection to promote economic growth.	你们没有必要牺牲环保来促进经济增长。	同义：facilitate, boost, prefer, upgrade	同根：promotional 促销的；增进的；奖励的；promotive 奖励的；增进的；助长的；promotion 提升，[劳经] 晋升；推销，促销；促进；发扬，振兴
routine	/rʊˈtin/	adj. 例行的， 常规的 n. 例行公事，惯例，惯常的程序	You mustn’t worry. These are just routine enquiries.	你不必担心，这只是例行的询问。	同义：procedure, program, daily, everyday	同根：routinely 例行公事地；老一套地；routineer 职员；墨守成规者；[通信] 定期测试装置
attack	/əˈtæk/	n. 攻击，打击；突然发作 vt. 攻击， 进攻	a bomb attack	炸弹袭击	同义：attempt, push, have at, come at	同根：attacker 攻击者；进攻者
humour	/ˈhju:mə/	n. 幽默， 诙谐， 幽默感	his humour and charm	他的幽默感和魅力	同义：drollness, pleasantry, content, gratify	同根：humorous 诙谐的，幽默的；滑稽的，可笑的；humourous 幽默的，诙谐的；滑稽的；humorless 非常严肃的；缺少幽默感的
divorce	/dɪˈvɔrs/	v. 离婚； 分离， 脱离 n. 离婚，离异	David’s parents divorced when he was six.	戴维的父母在他六岁时离婚了。	同义：separate, split, separation, detachment	同根：divorced 离婚的；divorcement 离婚；分离
currency	/ˈkɜrənsi/	n. 通货， 货币； 通行， 流行	The bank can supply you with foreign currency .	这家银行能为你提供外币。	同义：money, circulating medium	
canal	/kəˈnæl/	n. 运河， 沟渠； 管	We walked along by the side of the canal.	我们沿着运河边往前走。	同义：pipeline, klong	同根：canalisation 管道形成；开凿运河；运河网；canalization 运河网；开运河；[外科] 造管术；canalise 在…开凿运河
ankle	/ˈæŋkl/	n. 踝， 踝关节	slender ankles	纤细的脚踝	同义：gambrel, malleolus	
convict	/kənˈvɪkt/	vt. 证明…有罪， 宣判…有罪 n. 囚犯	a convicted murderer	已定罪的谋杀犯	同义：criminal offender, culprit	同根：conviction 定罪；确信；证明有罪
legislation	/,lɛdʒɪsˈleʃən/	n. 法律， 法规； 立法， 法律的制定	This is a very important piece of legislation (= law ).	这是一条非常重要的法规。	同义：lawmaking, lex	同根：legislative 立法的；有立法权的；legislatively 立法地；legislative 立法权；立法机构
clause	/klɔz/	n. 条款； 从句， 分句	A confidentiality clause was added to the contract.	合同中加上了一项保密条款。	同义：item, provision, article	同根：clausal 条款的；条项的；子句的
quiz	/kwɪz/	n. 智力竞赛，问答比赛；小测验 vt. 考查， 盘问	a love quiz in a magazine	杂志上的爱情问答	同义：trick, mischief, dig at, test for	同根：quizmaster 广播电视测验节目主持人；quizzer 测验节目；提问者
participate	/pɑrˈtɪsəˈpet/	vi. 参与， 参加； 分享	Some members refused to participate.	有些会员拒绝参加。	同义：mix, take part in, share in, partake in	同根：participant 参与的；有关系的；participating 由多人一起参加的；（股票等）持有人有权分享利益的；participatory 供人分享的；吸引参与的
ingredient	/ɪnˈɡridɪənt/	n. 组成部分， 成分； 原料； 要素， 因素	Combine all the ingredients in a large bowl.	把所有食材都放在一个大碗里。	同义：element, factor, material, basic	
surplus	/ˈsɝpləs/	adj. 过剩的， 多余的 n. 过剩，剩余，盈余	Ethiopia has no surplus food.	埃塞俄比亚没有多余的食物。	同义：residual, spare, remaining, residual	同根：surplusage 剩余物；盈余额
correspondence	/,kɔrəˈspɑndəns/	n. 信件， 函件； 通信， 通信联系； 符合， 一致， 相似	A secretary came in twice a week to deal with his correspondence.	一个秘书每个星期来两次处理他的信件。	同义：accordance, communication, unity, agreement	同根：corresponding 相当的，相应的；一致的；通信的；correspondingly 相应地，相对地；correspondent 通讯记者；客户；通信者；代理商行
refresh	/riˈfrɛʃ/	v. 振作精神， 恢复活力	A shower will refresh you.	洗个淋浴你就凉快了。	同义：renovate, to update, revive	同根：refreshing 提神的；使清爽的；使人重新振作的；refresher 专业性复习进修的；refreshingly 清爽地；有精神地
librarian	/laɪˈbrɛrɪən/	n. 图书馆管理员	The new librarian is a friend of mine.	这位新来的图书管理员是我的朋友。	同义：library technician	同根：library 图书馆，藏书室；文库；librarianship 图书馆事业；图书馆管理员职位；图书馆管理业务
intimate	/ˈɪntəmɪt/	adj. 亲密的；个人的 n. 至交， 密友 vt. 暗示， 提示	an intimate friend of Picasso’s	毕加索的一个密友	同义：private, close, perfect, chamber	同根：intimately 熟悉地；亲切地；私下地；intimacy 性行为；亲密；亲昵行为；隐私；intimation 暗示；告知；讽示
reporter	/rɪˈpɔrtɚ/	n. 记者	a news reporter	新闻记者	同义：journo, newsperson	
declaration	/,dɛkləˈreʃən/	n. 宣布， 宣告； 宣言， 声明； 申报	a ceasefire declaration	停火声明	同义：profession, announcement	同根：declared 公然的；公开宣布的；declarative 宣言的；陈述的，说明的；declarable 应申报的，可申请交税的
disclose	/dɪsˈkloz/	v. 揭示； 透露	Some companies have already voluntarily disclosed similar information .	一些公司已经主动透露了类似的信息。	同义：reveal, expose	同根：disclosure [审计] 披露；揭发；被揭发出来的事情
religion	/rɪˈlɪdʒən/	n. 宗教， 宗教信仰	The U.S. Constitution promises freedom of religion.	美国宪法保证宗教信仰自由。	同义：deen, religious belief	同根：religious 宗教的；虔诚的；严谨的；修道的；religious 修道士；尼姑；religiosity 虔诚；宗教狂；虚伪信仰
claw	/klɔ/	v. 抓， 撕 n. 爪，脚爪，螯	The wolf clawed at the tree and howled the whole night.	那只狼在那颗树上抓挠，还嗥叫了整整一个晚上。	同义：talon, unguis	同根：clawed 有爪或螯的；clawed 抓（claw的过去式和过去分词）
torture	/ˈtɔrtʃɚ/	n. 拷问；折磨 vt. 拷打	He died after five days of excruciating torture.	遭受了五天的严刑拷打之后，他死了。	同义：harry, colour, worry, trouble	同根：torturous 折磨人的，痛苦的；torturer 虐待者，拷问者
prayer	/prɛr/	n. 祷告， 祈祷； 祷文； 祈求， 祈望	Our thoughts and prayers are with you at this difficult time.	在这艰难时期我们时刻思念你，为你祈祷。	同义：suit, blessing	同根：prayerful 虔诚的；常常祷告的；pray 祈祷；请；恳求；pray 祈祷；恳求；央求
tragedy	/ˈtrædʒədi/	n. 悲剧， 惨事， 惨案； 悲剧艺术	The tragedy happened as they were returning home from a night out.	悲剧发生在他们夜里外出归来的路上。	同义：disaster, calamity	同根：tragic 悲剧的；悲痛的，不幸的；tragical 悲剧的；悲剧性的；悲惨的；不幸的；tragically 悲剧地；悲惨地
charm	/tʃɑrm/	n. 迷人的特性，魅力；符咒，咒文 vt. 吸引， 迷住	"Snow White and the Seven Dwarfs," the 1937 Disney classic, has lost none of its original charm.	迪斯尼1937年的经典之作《白雪公主和七个小矮人》从未丧失其最初的魅力。	同义：grace, appeal, fascination, intoxicate	同根：charming 迷人的；可爱的；charismatic 超凡魅力的；神赐能力的；charmed 着迷的；喜悦的
clap	/klæp/	v. 拍手，轻拍 n. 拍手， 鼓掌	Narouz clapped his hands and a servant entered.	纳鲁兹拍了拍手，一名佣人走了进来。	同义：plaud, handclap	同根：clapping 鼓掌；掌声；clapper 拍手者；铃舌；响板；唠唠叨叨的嘴巴；clapping 鼓掌；轻敲（clap的ing形式）
purple	/ˈpɝpl/	adj. 紫的 n. 紫色	His face turned purple with rage.	他气得脸色发紫。	同义：regal, violet, lila, amethyst	同根：purplish 略带紫色的
quit	/kwɪt/	vt. 停止， 放弃； 离开， 辞	The landlord gave them notice to quit the premises within seven days.	房东通知他们七天之内搬出去。	同义：yield, desert, split, get out	同根：quitter 轻易放弃的人；懒人；quittance 收据；免除，赦免；报酬，补偿
economical	/,ɛkəˈnɑmɪkl/	adj. 节约的； 经济学的	A small car is more economical to run.	开小型汽车比较省油。	同义：managing, paying, saving	同根：economic 经济的，经济上的；经济学的；econometric 计量经济学的；economically 经济地；在经济上；节俭地
prosperous	/ˈprɑspərəs/	adj. 繁荣的， 兴旺的	a prosperous landowner	富裕的土地拥有者	同义：flourishing, booming	同根：prosperously 繁荣地；幸运地；prosperity 繁荣，成功；prosper 繁荣，昌盛；成功
polish	/ˈpɑlɪʃ/	vt. 磨光；修改，润色，使优美 n. 擦光剂	Your essay is good, you just need to polish it a bit.	你的文章不错，只要稍加润色就可以了。	同义：grace, buffing, furbish, Polak	同根：polite 有礼貌的，客气的；文雅的；上流的；优雅的；polished 擦亮的；优美的；圆滑的；politeness 有礼貌；优雅
cabinet	/ˈkæbɪnət/	n. 橱， 柜； 内阁	a cabinet meeting	内阁会议	同义：ambry, council of ministers, private, secret	
chart	/tʃɑrt/	n. 图表；航海图 vt. 用图表表示， 在图上表示	a chart showing last year’s sales	显示去年销售情况的一份图表	同义：graph, diagram	同根：chartless 图籍未载的；尚未绘入地图或海图的；chartist 宪章派；图解专家；宪章运动者
optical	/ˈɑptɪkl/	adj. 眼的， 光学的， 视觉的	microscopes and other optical instruments	显微镜和其他光学仪器	同义：visual, ocular	同根：optic 光学的；视觉的；眼睛的；optically 光学地；眼睛地；视力地；optic 眼睛；镜片
insurance	/ɪnˈʃʊrəns/	n. 保险， 保险费	Your father took out insurance to cover the mortgage.	你父亲购买了抵押借款保险。	同义：assurance, safety, premium, compensation	同根：insured 已投保的；insurable 可保险的，适合保险的；insured 被保险人
preface	/ˈpref.ɪs/	n. 序言， 前言， 引言	...the preface to Kelman's novel.	…凯尔曼小说的前言。	同义：prolegomena, perface, begin with, open with	
principle	/ˈprɪnsəpl/	n. 原则， 原理， 道义； 基本信念， 信条	The general principle is that education should be available to all children up to the age of 16.	总的原则是，16 岁以下儿童都应该能接受教育。	同义：theory, mechanism, element, essence	同根：principled 有原则的；有操守的
lid	/lɪd/	n. 盖子， 盖	She lifted the lid of the box and displayed the contents.	她把盒盖掀起，展示了里边的东西。	同义：limitation, qualification, restriction, cover	同根：lidded 有盖子的；覆盖着的；有…眼睑的；lidless 无盖的；注视的；无眼睑的；lidded 给…盖上盖子（lid的过去分词）
tedious	/ˈtidɪəs/	adj. 冗长乏味的， 沉闷的	The work was tiring and tedious.	这工作既累人又枯燥。	同义：dreary, dreich	同根：tediously 沉闷地；冗长而乏味地；tedium 沉闷；单调乏味；厌烦；tediousness 沉闷；乏味
source	/sɔrs/	n. 河的源头， 根源； 来源， 出处	They get their money from various sources.	他们从各种途径弄到钱。	同义：provenience, authorship	
secure	/səˈkjʊr/	adj. 安全的，可靠的；牢固的，稳固的；无忧虑的，安心的 vt. 得到， 获得； 使安全， 保卫； 缚牢	There are no secure jobs these days.	如今已经没有铁饭碗了。	同义：safe, certain, invite, court	同根：security 安全的；保安的；保密的；secured 有担保的；securer 安全的；可靠的（secure的比较级形式）
deception	/dɪˈsɛpʃən/	n. 欺骗； 诡计， 骗局	She didn’t have the courage to admit to her deception.	她没有勇气承认自己的欺骗行为。	同义：fraud, confidence game	同根：deceptive 欺诈的；迷惑的；虚伪的；deceptively 迷惑地，骗人地；虚伪地；deceptiveness 虚伪；迷惑骗人
basically	/ˈbesɪkli/	adv. 基本上， 从根本上说	Basically, I’m just lazy.	说穿了，我就是懒。	同义：mainly, mostly, largely, primarily	同根：basic 基本的；基础的；basic 基础；要素
donation	/doˈneʃən/	n. 捐款， 捐赠物； 捐赠， 赠送	There have been generous donations from EU funds.	欧盟基金给予了慷慨的捐款。	同义：endowment, offertory	同根：donor 捐献的；经人工授精出生的；donated 捐赠的；donate 捐赠；捐献
avenue	/ˈævənu/	n. 林荫道， 道路， 大街	Fifth Avenue	第五大街	同义：main street, high street	
immense	/ɪˈmɛns/	adj. 巨大的； 极好的	People who travel by rail still read an immense amount.	人们坐火车旅行时仍然会读很多书。	同义：huge, tremendous, enormous, massive	同根：immensely 极大地；无限地；广大地；庞大地；immensity 巨大；无限；广大；immenseness 无限；巨量；极妙
given	/ˈɡɪvn/	adj. 规定的，特定的；假设的；已知的；有癖好的，有倾向的 prep. 考虑到	On any given day in the Houston area, half the hospital beds are empty.	在休斯敦地区，任何一天医院的床位都有一半是空的。	同义：bathed, considering, saving, in consideration of	同根：give 弹性；弯曲；伸展性；giving 给予；礼物；给予物；giver 给予者，赠予人；送礼者
hay	/heɪ/	n. 干草	...bales of hay.	…一捆捆的干草。	同义：hey, stover	同根：haywire 乱糟糟的，乱七八糟的；疯狂的；haystack 干草堆；haywire [电] 临时电线；捆干草用的铁丝
chest	/tʃɛst/	n. 胸腔， 胸膛； 箱子	Her heart was pounding in her chest.	她的心在胸口怦怦直跳。	同义：bureau, treasury, breast	同根：chesty 胸部丰满的；胸部大的；骄傲的
tension	/ˈtɛnʃən/	n. 紧张， 不安； 拉紧； 张力， 拉力	The tension was becoming unbearable, and I wanted to scream.	这种紧张变得难以忍受，我真想大声尖叫。	同义：strain, intensity, stress, stress	同根：tense 紧张的；拉紧的；tensile [力] 拉力的；可伸长的；可拉长的；tensed 紧的；紧张的
reflection	/rɪˈflɛkʃən/	n. 映像， 倒影； 反射； 反映， 表达； 非议； 沉思， 反省	Can you see your reflection in the glass?	你能看到玻璃里你的影像吗？	同义：meditation, contemplation	同根：reflective 反射的；反映的；沉思的；reflected 反射的；得自他人的；reflecting 反射的；沉思的
ultimate	/ˈʌltəmɪt/	adj. 最后的，最终的 n. 终极， 顶点	The ultimate outcome of the experiment cannot be predicted.	试验的最后结果无法预测。	同义：final, organic, fundamental, radical	同根：ultima 最终的；最后的；ultimately 最后；根本；基本上；ultimatum 最后通牒；最后结论；基本原理
campus	/ˈkæmpəs/	n. 校园， 学校场地	a beautiful campus in New England	新英格兰的一个美丽校园	同义：schoolyard, college life	
solicitor	/səˈlɪsɪtɚ/	n. 律师， 法律顾问	You need to see a solicitor.	你需要找个律师。		同根：solicit 征求；招揽；恳求；请求；solicit 征求；招揽；请求；乞求
cheerful	/ˈtʃɪrfl/	adj. 快乐的， 愉快的； 使人感到愉快的	a bright cheerful Italian restaurant	一家明亮宜人的意大利餐馆	同义：happy, pleased, glad, good	同根：cheery 愉快的，活泼的；cheering 令人高兴的；cheerfully 高高兴兴地
merit	/ˈmɛrɪt/	n. 长处，优点，价值；功劳，成绩 vt. 值得， 应受	The merit of the report is its realistic assessment of the changes required.	这份报告的优点就是它对所要求的变动进行了实事求是的评估。	同义：asset, importance, virtue, price	同根：meritorious 有功绩的；有价值的；值得称赞的；merited 应得的；理所当然的；meritoriousness 有价值
misunderstand	/,mɪsʌndɚˈstænd/	vt. 误解， 误会	Rachel, you must have misunderstood her! Ellie would never say something like that.	雷切尔，你一定是误会她了！埃莉绝不会说那样的话。	同义：misconstrue, misread	同根：misunderstood 被误解的；misunderstanding 误解；误会；不和；misunderstood 误解，误会（misunderstand的过去式）
guilty	/ˈɡɪlti/	adj. 内疚的； 有罪的	She looked self-conscious and guilty.	她看上去很不自然，很内疚的样子。	同义：sinful, culpable	同根：guiltless 无罪的，无辜的；没有…的，不知…的；guiltily 内疚地；有罪地；guilt 犯罪，过失；内疚
measure	/ˈmɛʒɚ/	vt. 测量，度量；衡量 n. 分量； 尺寸； 量具； 计量单位； 量度， 测量； 措施， 办法	The rainfall was measured over a three-month period.	对三个月内的降雨量进行了测量。	同义：extent, degree, survey, dimension	同根：measured 量过的；慎重的；基于标准的；有规则的；measurable 可测量的；重要的；重大的；measuring 测量用的
overall	/,ovəˈrɔl/	adj. 全面的， 总体的， 全部的	The overall cost of the exhibition was £400,000.	展览会的全部费用是40万英镑。	同义：entire, all, corporate, total	同根：overbearing 傲慢的；压倒一切的；overbearing 压住；否定；专横地对待；繁殖过度（overbear的ing形式）
receipt	/rɪˈsit/	n. 发票， 收据； 收入， 进款； 收到， 接到	Keep your receipt in case you want to bring it back.	保留收据以备退货之需。	同义：income, proceeds, earning, receive from	
pepper	/ˈpɛpɚ/	n. 胡椒，胡椒粉 vt. 在…上撒； 使布满	salt and pepper	盐和胡椒粉	同义：peper, capsicum, besprinkle	同根：peppery 辛辣的；胡椒味的；暴躁的；peppermint 薄荷；薄荷油；胡椒薄荷；薄荷糖（等于mint）；peppercorn 干胡椒；象征性租金；空有其名的象征性房租
plural	/ˈplʊrəl/	adj. 复数的 n. 复数	"Data" is the Latin plural form of "datum."	“”是“”的拉丁语复数形式。	同义：complex numbers, complexor	同根：plurality 多数；复数；兼职；胜出票数；pluralist 兼职者；多元论者；兼管数个教堂者；pluralize 兼职；成复数
doctoral	/ˈdɔktərəl/	adj. 博士的	a doctoral thesis	博士论文		同根：doctorial 博士的；学者的（等于doctorel）；doctor 医生；博士；doctorate 博士学位；博士头衔
concept	/ˈkɑnsɛpt/	n. 概念， 观念， 设想	a new concept in business travel	商务旅行的新理念	同义：idea, sense, notion, construct	同根：conceptual 概念上的；conceptional 想象的；概念上的；conceptive 概念上的；有想像力的
resistant	/rɪˈzɪstənt/	adj. 抵抗的， 抗…的， 耐…的	Some people are very resistant to the idea of exercise.	一些人对锻炼的主意非常抵制。	同义：stubborn, rebellious	同根：resistive 有抵抗力的；resistible 可抵抗的；resistless 无抵抗力的；无法抗拒的
video	/ˈvɪdɪo/	adj. 录像的；电视的 n. 录像	video production	录像制作	同义：television, Vedio, televisual, to produce	
agriculture	/ˈæɡrɪkʌltʃɚ/	n. 农业， 农学	More than 75% of the land is used for agriculture.	75%以上的土地用于农耕。	同义：farming, extractive industry	同根：agricultural 农业的；农艺的；agriculturalist 农学家（等于agriculturist）；agriculturist 农业家；[农] 农场工作者
weapon	/ˈwɛpən/	n. 武器， 兵器	They all had sticks which they planned to use as weapons.	他们都持有棍棒，打算当武器用。	同义：arm, armament	同根：weaponry 兵器，武器（总称）；weaponize 使…武器化
