en	phonetic	cn	example	exampleCn	synonym	root
stride	/straɪd/	vi. 大踏步走 n.  大步； 步法， 步态； 进展， 进步	They were joined by a newcomer who came striding across a field.	他们中又来了个新人，那人穿过一块田地大步走过来。	同义：evolution, step over, step over	同根：strider  阔步走路的人；[昆] 水黾
impulsive	/ɪmˈpʌlsɪv/	adj.  冲动的	Rosa was impulsive and sometimes regretted things she’d done.	罗莎性情鲁莽，有时会为做过的事感到后悔。	同义：impetuous	同根：impulsively  有推动力地；impulse  冲动；[电子] 脉冲；刺激；神经冲动；推动力；impulsiveness  冲动
qualitative	/ˈkwɑlətetɪv/	adj.  性质的， 定性的	There are qualitative differences in the way children of different ages and adults think.	不同年龄的儿童和成人在思维方式上有着质的差异。		同根：qualitatively  定性地；从品质上讲
diverse	/daɪˈvɝs/	adj.  不一样的， 相异的； 多种多样的	subjects as diverse as pop music and archaeology	像流行音乐和考古学这样各不相同的学科	同义：different	同根：diversified  多样化的；各种的；diversely  不同地；各色各样地；diversity  多样性；差异
crisp	/krɪsp/	adj. 脆的，鲜脆的；挺括的；清新的，干冷的；简明扼要的，利落的 n.  油炸土豆片	She kicked at the crisp leaves at her feet.	她踢着脚边松脆的树叶。	同义：fresh, crimp, curl	同根：crispy  酥脆的；易碎的；干净利落的；生气勃勃的；crisply  清楚地；易碎地；crispness  易碎；清新；酥脆
prime	/praɪm/	adj. 首要的；最好的 n. 青春；全盛时期 vt.  使准备好	Smoking is the prime cause of lung disease.	抽烟是引发肺部疾病的首要原因。	同义：greatest, excellently, youth, ready	同根：primary  主要的；初级的；基本的；primeval  原始的；初期的（等于primaeval）；prim  拘谨的；整洁的；呆板的
intellect	/ˈɪntəlɛkt/	n.  智力， 理解力； 才智非凡的人	Do the emotions develop in parallel with the intellect?	情感与智力同步发展吗？	同义：brain	同根：intellectual  智力的；聪明的；理智的；intelligent  智能的；聪明的；理解力强的；intelligible  可理解的；明了的；仅能用智力了解的
preference	/ˈprɛfrəns/	n.  喜爱， 偏爱； 优先； 偏爱的事物	Do you have a colour preference ?	你有什么颜色上的偏好吗？	同义：tendency	同根：preferred  优先的；首选的；preferential  优先的；选择的；特惠的；先取的；preferentially  优先地；优惠地
mild	/maɪld/	adj.  温柔的； 温暖的； 轻微的	We had an exceptionally mild winter last year.	去年冬天我们这里异常暖和。	同义：pacific	同根：mildly  温和地，和善地；适度地；mildness  温和；温暖
loyal	/ˈlɔɪəl/	adj.  忠诚的， 忠心的	a loyal supporter of the team	球队的忠实支持者	同义：loving	同根：loyally  忠诚地；诚实地；loyalty  忠诚；忠心；忠实；loyalist  忠诚的人；反对独立者
impact	/ɪmˈpækt/	v.  影响， 作用， 冲击 n. [Im'pækt]	Such schemes mean little unless they impact people.	除非能对人们造成影响，否则这样的计划意义不大。	同义：affect, charge at, effect	同根：impacted  压紧的；结实的；嵌入的；（人口）稠密的；impactive  冲击的；有不良影响的；impaction  压紧；装紧；嵌入
paralysis	/pəˈræləsɪs/	n.  麻痹， 瘫痪， 中风； 无能， 无力	paralysis of the lower body	下半身瘫痪	同义：numbness	同根：paralyzed  瘫痪的；麻痹的；paralytic  麻痹的；瘫痪的；中风的；paralytic  中风患者；麻痹患者
court	/kɔrt/	n.  法院， 法庭； 庭院； 宫廷； 球场	It could not be proved in a court of law.	这无法在法庭上证实。	同义：playfield, invite, woo	同根：courtesy  殷勤的；被承认的；出于礼节的；courtly  尊严而有礼貌的；奉承的；有宫廷气派的，威严的；courtesy  礼貌；好意；恩惠
chapel	/ˈtʃæpl/	n.  小教堂， 祈祷室	Bethan goes to chapel every Sunday.	贝唐每个星期天都去教堂做礼拜。	同义：church	同根：chaplaincy  礼拜堂牧师之职位或任期
distort	/dɪˈstɔrt/	vi.  变形 vt. 歪曲，曲解；扭曲，使变形	Tall buildings can distort radio signals.	高大的建筑物会使无线电信号失真。	同义：contort, become deformed	同根：distorted  歪曲的；受到曲解的；distortion  变形；[物] 失真；扭曲；曲解；distorted  扭曲（distortasd的过去式和过去分词）
subsidiary	/səbˈsɪdɪɛri/	adj. 辅助的，次要的，附设的 n.  子公司， 附属机构	a subsidiary hypothesis	一个附带假设	同义：assistant, auxiliary	
venture	/ˈvɛntʃɚ/	vi.  冒险； 大胆行事 n. 风险投资，风险项目 vt. 拿…冒险；敢于	When darkness fell, he would venture out.	天黑以后，他就会壮着胆子出去。	同义：dare to, adventure, enterprise	同根：venturesome  冒险的；危险的；好冒险的；venturous  不顾一切的；好冒险的；大胆的；vent  （感情的）发泄；出口；通风孔
discern	/dɪˈsɝn/	vt.  看出， 察觉出； 识别， 认出	We could just discern a town in the distance.	我们依稀看到远处有一座城镇。	同义：recognize, see clearly	同根：discernible  可辨别的；可识别的；discerning  有辨识能力的；眼光敏锐的；discernable  可辨别的；可认识的
enthusiasm	/ɪnˈθuzɪæzəm/	n.  热情， 热心， 热忱； 巨大兴趣	Gillian and Darren greeted the speakers with great enthusiasm.	吉利恩和达伦非常热情地接待了演讲者。	同义：passion	同根：enthusiastic  热情的；热心的；狂热的；enthusiastically  热心地；满腔热情地
flexible	/ˈflɛksəbl/	adj.  易弯曲的； 灵活的	We can be flexible about your starting date.	你具体从哪天开始，我们可以灵活一点。	同义：elastic	同根：flex  弹性工作制的；flexile  可弯曲的；柔韧的；可变通的；flexuous  动摇不定的；弯曲的；波状的；[生物] 之字形的；不稳定的
domain	/doˈmen/	n.  领域， 范围； 领地， 势力范围	Looking after the house was viewed as a woman’s domain.	料理家务被认为是女性的份内之事。	同义：province	
census	/ˈsɛnsəs/	n.  人口普查， 统计	a traffic census	交通状况调查	同义：lustrum	
corpse	/kɔrps/	n.  死尸， 尸体	The corpse was found by children playing in the woods.	这具尸体是在林子里玩耍的孩子发现的。	同义：lich	
willful	/ˈwɪlfəl/	adj.  故意的， 特意的			同义：intended	同根：willing  乐意的；自愿的；心甘情愿的；wilful  故意的；任性的；willingly  欣然地；愿意地，乐意地
attitude	/ˈætɪtʊd/	n.  态度， 看法； 姿势	As soon as they found out I was a doctor, their whole attitude changed.	他们一听说我是医生，态度就完全改变了。	同义：opinion	同根：attitudinal  态度的
relative	/ˈrɛlətɪv/	adj. 有关系的，相对的 n.  亲属， 亲戚	The relative merits of both approaches have to be considered.	两种方法的相对优点都得考虑在内。	同义：opposing, kin	同根：related  有关系的，有关联的；讲述的，叙述的；relational  相关的；亲属的；relativistic  相对的；相对论的
compare	/kəmˈpɛr/	vt.  比较， 对照； 把…比作	The report compares the different types of home computer available.	这份报告比较了市场上不同类型的家用计算机。	同义：contradistinguish, match, parabole	同根：comparative  比较的；相当的；comparable  可比较的；比得上的；comparatively  比较地；相当地
depict	/dɪˈpɪkt/	vt.  描绘， 描述	a book depicting life in pre-revolutionary Russia	描写革命前俄国人生活的一本书	同义：bewrite	同根：depictive  描写的；描述的；depiction  描写，叙述
hop	/hɑp/	vi. 单足跳跃，单足跳行；齐足跳跃，齐足跳行 vt. 跳上 n.  蹦跳； 短程航行	a little girl hopping and skipping	一个蹦蹦跳跳的小女孩	同义：jump, jump, jump	同根：hoppy  蛇麻草的；啤酒花的；跳动的；hopper  料斗；漏斗；单足跳者；跳虫；hoppy  吸毒成瘾者
characteristic	/,kærəktəˈrɪstɪk/	adj. 特有的，典型的 n.  特性	the highly characteristic (= very typical ) flint walls of the local houses	当地房子非常有特色的燧石墙	同义：typical, quality	同根：characterless  无个性的；缺乏特征的；平凡的；characteristically  典型地；表示特性地；character  性格，品质；特性；角色；[计] 字符
involvement	/ɪnˈvɔlvmənt/	n.  连累； 包含	School officials say they welcome parental involvement.	校方说他们欢迎学生父母参与。	同义：containing	同根：involved  有关的；卷入的；复杂的；involved  涉及；使参与；包含（involve的过去式和过去分词）；involve  包含；牵涉；使陷于；潜心于
pave	/pev/	vt.  铺， 铺筑	a paved courtyard	地面铺砌过的院子	同义：schedule	同根：paving  [建] 铺砌；铺路材料；块石面路；pavage  铺路；铺设；铺路税；paving  铺设；为…做准备（pave的ing形式）
integral	/ˈɪntɪɡrəl/	adj.  构成整体所必需的， 基本的	Vegetables are an integral part of our diet.	蔬菜是我们膳食中不可缺少的一部分。	同义：whole, proportion	同根：integrate  整合的；完全的；integrated  综合的；完整的；互相协调的；integrally  完整地，整体地；固有地
lubricate	/ˈlubrɪket/	vt.  使润滑	Lubricate all moving parts with grease.	给所有活动部件加润滑油。		同根：lubricant  润滑的；lubricated  润滑的；喝醉了的；lubricant  润滑剂；润滑油
comet	/ˈkɑmət/	n.  彗星	Halley’s comet	哈雷彗星		同根：cometary  彗星的；彗星似的；cometic  彗星的；彗星似的
deadline	/ˈdedlaɪn/	n.  最后期限	I’m always working under pressure to meet deadlines (= finish something on time ) .	我总是在赶工期的压力下工作。		
bully	/ˈbʊli/	n. 恃强欺弱者 vt.  威吓， 欺负	Bullies are often cowards.	恃强凌弱者往往是懦夫。	同义：bucko, classical, daunt, greatly	同根：bull  大型的；公牛似的；雄性的；bullied  被欺负的；因害怕而屈服顺从的；bull  公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
chip	/tʃɪp/	n.  屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵	the age of the silicon chip	芯片时代	同义：pele, shell, debris	同根：chipper  爽朗的；活泼的；chipping  破片；碎屑；chipper  削片机；凿子；削东西的人；唧唧喳喳
medieval	/,midɪˈivəl/	adj.  中世纪的； 中古的	These spices were first brought to Italy from the East in medieval times.	这些香料最早是在中世纪时从东方被带到了意大利。	同义：original	
tanker	/ˈtæŋkɚ/	n.  油轮	A Greek oil tanker has run aground.	一艘希腊油轮已经搁浅了。		同根：tank  坦克；水槽；池塘；tankage  桶槽容量；桶槽的租费；tank  乘坦克行进
involve	/ɪnˈvɑlv/	vt.  使卷入， 牵涉； 包含， 含有	What will the job involve?	这份工作包括什么？	同义：contain	同根：involved  有关的；卷入的；复杂的；involvement  牵连；包含；混乱；财政困难；involved  涉及；使参与；包含（involve的过去式和过去分词）
pistol	/ˈpɪstl/	n.  手枪	He threatened to pistol me.	他威胁要用手枪向我射击。	同义：handgun	
assemble	/əˈsɛmbl/	vi. 集合，召集 vt.  集合， 聚集； 装配	A large crowd had assembled outside the American embassy.	一大群人聚集在美国大使馆外。	同义：aggregate, concentrate	同根：assembled  组合的；安装的；assembling  装配的；组合的；assembly  装配；集会，集合
watertight	/ˈwɔtɚtaɪt/	adj.  不透水的， 防水的； 严密的， 无懈可击的	Lucky for him, his alibi is watertight.	算他走运，不在犯罪现场的证据无懈可击。	同义：invulnerable	
transition	/trænˈzɪʃən/	n.  过渡， 转变	Making the transition from youth to adulthood can be very painful.	从青少年过渡到成年有时是一个非常痛苦的过程。	同义：conversion	同根：transitional  变迁的；过渡期的；transitive  及物的；过渡的；可迁的；transit  运输；经过
repel	/rɪˈpɛl/	vt.  使厌恶； 击退， 逐回， 驱除； 排斥	The smell repelled him.	这气味让他反感。	同义：refuse	
mutter	/ˈmʌtɚ/	n&v.  轻声低语； 小声抱怨	Elsie muttered something I couldn’t catch and walked off.	埃尔茜咕哝了一句什么，我也没有听懂，她就走掉了。	同义：chunter, grunt	同根：muttering  独自怨言，喃喃自语；muttering  咕哝；发牢骚（mutter的ing形式）
series	/ˈsɪriz/	n.  一系列， 连续； 丛书， 连续剧	the series of events that led to the outbreak of war	导致战争爆发的一系列事件	同义：succession	同根：serially  连续地；连载地；serialize  连载，使连续；serialise  连载；使…连续
complicated	/ˈkɑmplɪketɪd/	adj.  复杂的， 难懂的	a complicated voting system	复杂的选举制度	同义：involved	同根：complication  并发症；复杂；复杂化；混乱；complicate  使复杂化；使恶化；使卷入
junk	/dʒʌŋk/	n. 废旧物品，破烂 vt.  丢弃， 废弃	This cupboard’s full of junk.	这个壁橱里塞满了杂物。	同义：refuse	同根：junky  无价值的；质量低劣的；junky  吸毒者；毒品贩子；废旧品商人
maximum	/ˈmæksəməm/	adj.  最大的； 最高的； 顶点的 n. 最大量；顶点	The car has a maximum speed of 120 mph.	这辆汽车的最高时速为120英里。	同义：ceiling amount, highest	同根：maximal  最高的，最大的；最全面的；maximally  最大地；最高地；maximization  [数] 极大化，最大化
thrive	/θraɪv/	vi.  兴旺， 繁荣， 旺盛	plants that thrive in tropical rain forests	在热带雨林蓬勃生长的植物	同义：succeed	同根：thriving  繁荣的；蒸蒸日上的；旺盛的；thriving  兴旺（thrive的ing形式）
imaginative	/ɪˈmædʒɪnətɪv/	adj.  富有想象力的， 爱想象的	an imaginative use of computer technology	计算机技术的妙用	同义：fictitious	同根：imaginary  虚构的，假想的；想像的；虚数的；imaginable  可能的；可想像的；imagined  想象的；构想的
penguin	/ˈpɛŋɡwɪn/	n.  企鹅	I am a penguin and I turn my head.	我是一只企鹅并且我可以摆动我的尾巴。	同义：penuins	
represent	/,rɛprɪˈzɛnt/	vt.  作为…的代表， 表示， 象征； 描绘， 表现	Mr Kobayashi was chosen to represent the company at the conference.	小林先生被选中代表公司出席会议。	同义：conduct oneself, to stand for	同根：representative  典型的，有代表性的；代议制的；representational  代表的；具象派的；representable  能被代表的；能上演的；能被描绘的
masterpiece	/ˈmæstəpis/	n.  杰作	Mary Shelley was just 18 when she wrote the horror masterpiece ‘Frankenstein’.	玛丽•雪莱创作《科学怪人》这部恐怖小说名作的时候年仅18岁。	同义：chef-d'oeuvre	
compete	/kəmˈpit/	vi.  比赛， 竞争， 对抗	The banks have long competed with American Express's charge cards and various shop cards.	这些银行长期以来一直与美国运通公司的记账卡和各种商店卡竞争。	同义：contest	同根：competitive  竞争的；比赛的；求胜心切的；competing  相互矛盾的；抵触的；competitively  有竞争力地；好竞争地
tolerant	/ˈtɑlərənt/	adj.  宽容的， 容忍的	a tolerant society	宽容的社会	同义：kind	同根：tolerable  可以的；可容忍的；tolerably  相当地；可容忍地；差不多地；tolerantly  宽容地，容忍地
dispatch	/dɪˈspætʃ/	vt. 派遣，调遣，发送 n.  急件， 快信； 新闻报道； 派遣， 调遣	Goods are normally dispatched within 24 hours.	货物一般在24小时内派送。	同义：urgent-mail, mission	同根：dispatcher  调度员；[计] 调度程序；[计] 分配器
emergency	/ɪˈmɝdʒənsi/	n.  紧急情况， 突然事件	Lifeguards are trained to deal with emergencies.	救生员接受过应对紧急情况的训练。	同义：critical situation, urgent	同根：emergent  紧急的；浮现的；意外的；自然发生的；emergence  出现，浮现；发生；露头
dim	/dɪm/	adj. 昏暗的，朦胧的；模糊不清的 v.  变暗淡	in the dim light of the early dawn	在微弱的晨曦里	同义：fuzzy, breathe upon, fog, simple	同根：dimmed  无效的；暗灰色的；dimly  朦胧地；微暗；dimmer  [车辆] 调光器；光暗掣；衰减器
paralyze	/ˈpærə,laɪz/	vt.  使瘫痪， 使麻痹； 使丧失作用； 使惊愕， 使呆若木鸡			同义：anesthetize	同根：paralyzed  瘫痪的；麻痹的；paralytic  麻痹的；瘫痪的；中风的；paralysis  麻痹；无力；停顿
interpersonal	/ˈɪntɚˈpɝsnl/	adj.  人与人之间的， 关于人与人之间关系的	interpersonal skills	人际交往技巧		
exemplary	/ɪɡˈzɛmpləri/	adj.  可作楷模的， 典范的	a company with an exemplary record on environmental issues	在处理环境问题方面可作为楷模的公司	同义：emulable	同根：exemplar  模范，榜样；标本
faculty	/ˈfæklti/	n.  才能， 能力； 系， 科； 全体教员	Both faculty and students oppose the measures.	教师和学生都反对这些措施。	同义：ability	
layoff	/ˈle,ɔf/	n.  解雇； 裁员； 歇工期， 停工期	It will close more than 200 stores nationwide resulting in the layoffs of an estimated 2,000 employees.	在全国范围内将关闭二百多家商店，造成约两千人失业。		同根：layover  中断期间，中途短暂的停留；终点停车处；津贴
wretched	/ˈrɛtʃɪd/	adj.  极不愉快的， 难受的， 可怜的； 令人苦恼的， 讨厌的； 拙劣的	the poor, wretched girl	极其不幸的可怜姑娘	同义：poor	同根：wretchedly  鄙劣地；可怜地；wretch  可怜的人，不幸的人；卑鄙的人；wretchedness  可怜；悲惨；不幸
modesty	/ˈmɑdəsti/	n.  谦虚	‘Anyone else would have done the same thing,’ he said with typical modesty.	换了谁都会这么做的。”他带着一贯的谦虚说道。	同义：humility	同根：modest  谦虚的，谦逊的；适度的；端庄的；羞怯的
considerate	/kənˈsɪdərɪt/	adj.  考虑周到的， 体贴的， 体谅的	I think he's the most charming, most considerate man I've ever known.	我觉得他是我所认识的最有魅力、最体贴的男士。	同义：thoughtful	
glamor	/ˈglæmɚ/	n.  魅力， 诱惑力	This is the power of glamor of debate!	这就是辩论的力量和魅力！	同义：charm, ensorcel	同根：glamorous  迷人的，富有魅力的；glamourous  富有魅力的；迷人的；glamour  魅力，魔力；迷人的美
clue	/klʊ/	n.  线索， 暗示， 提示	Police have found a vital clue .	警方发现了至关重要的线索。	同义：action	同根：clueless  无线索的；愚蠢的
bracket	/ˈbrækɪt/	n. 括号；等级段，档次；壁架，托架 vt.  把…置于括号内； 把…归入同一类	the highest tax bracket	最高税级	同义：rest, eliminate	
legal	/ˈligl/	adj.  法律的； 合法的	What the company has done is perfectly legal.	公司所做的这一切完全合法。	同义：legitimate	同根：legally  合法地；法律上；legality  合法；合法性；墨守法规；legalization  [法] 合法化；法律认可
midst	/mɪdst/	n.  中部； 中间； 当中	We were sitting in the midst of an elegant and well-dressed audience.	我们坐在一群举止优雅、衣着考究的观众中间。	同义：middle, among	
trait	/tret/	n.  特征， 特点， 特性	The study found that some alcoholics had clear personality traits showing up early in childhood.	这项研究发现一些酗酒者早在孩童时就表现出明显的个性特征。	同义：quality	
radius	/ˈredɪəs/	n.  半径， 半径范围	The shock of the explosion was felt over a radius of forty miles.	爆炸引起的剧烈震动在方圆40英里内都能感觉得到。	同义：semidiameter	同根：radioprotection  辐射防护；radiosensitivity  [核][物] 辐射敏感度
disintegration	/dɪs,ɪntəˈgreʃən/	n.  破裂， 分裂； 瓦解	The act or an instance of breaking up, as a division, dispersal, or disintegration.	分散，分离分离的行为或实例，如分裂、分散或分解。	同义：analysis	同根：disintegrative  使崩溃的；使分裂的；disintegrate  瓦解；碎裂；衰变；disintegrate  使分解；使碎裂；使崩溃；使衰变
signal	/ˈsɪgnl/	adj.  显著的， 重大的 n. 信号，暗号；标志，表示 vt. 发信号；标志着	He pressed the red alarm signal to see if it was on or off.	他按了一下红色报警信号钮，检查一下它是开著的还是关著的。	同义：high sign, mark, obvious, semaphore	同根：signed  有符号的；已签字的；有正负之分的；signally  显著地；突出地；非凡地；sign  迹象；符号；记号；手势
impair	/ɪmˈpɛr/	vt.  损害， 损伤； 削弱	The illness had impaired his ability to think and concentrate.	这种疾病损害了他的思维能力和注意力。	同义：hurt	同根：impaired  受损的；impairment  损伤，损害；impairer  损害者
dolphin	/ˈdɑlfɪn/	n.  海豚	I like dolphin.	我喜欢海豚。	同义：sea hog	
sightseeing	/ˈsaɪtsiɪŋ/	n.  观光， 游览	She swam and sunbathed, went sightseeing and relaxed.	她游泳，晒日光浴，观光，放松。	同义：tourism, visiting	同根：sightseer  观光者；游客
stray	/stre/	vi. 走失，迷路；分心，走神；离题 adj. 迷路的，走失的；孤立的，零星的 n.  走失的家畜	Tourists often get lost and stray into dangerous areas.	旅游者们经常迷路走进一些危险区域。	同义：lose oneself, astray, Vagabonds	同根：strayer  迷路者；流浪者；不走正路的人
planet	/ˈplænɪt/	n.  行星	The picture shows six of the nine planets in the solar system.	这张图片展示太阳系9个行星中的6个行星。		同根：planetary  行星的；planetesimal  星子的；星子组成的；小行星体的；planetesimal  小行星体；星子
exhaust	/ɪɡˈzɔst/	vt. 使筋疲力尽，用尽；详尽论述 n.  排气装置； 废气	A full day’s teaching exhausts me.	讲一整天课令我精疲力竭。	同义：issue, air out, air discharge	同根：exhausted  疲惫的；耗尽的；exhaustive  详尽的；彻底的；消耗的；exhausting  使筋疲力尽的；使耗尽的
thereafter	/,ðɛrˈæftɚ/	adv.  之后， 以后	10,000 men had volunteered by the end of September; thereafter, approximately 1,000 men enlisted each month.	到9月底时已有10,000人志愿参军，此后，每个月差不多有1,000人应征入伍。	同义：subsequently	同根：therefrom  从那里；从此；从那一点；theretofore  在那以前；到那时为止
soluble	/ˈsɑljəbl/	adj.  可溶的； 可解决的	soluble aspirin	可溶性阿司匹林	同义：dissolvable	同根：solved  解决了的；solvable  可以解决的；可以解的；可溶的；solution  解决方案；溶液；溶解；解答
feast	/fist/	vi.  尽情地吃， 宴饮； 参加宴会 n. 盛宴，筵席；节日	They feasted well into the afternoon on mutton and corn stew.	他们尽情享用玉米炖羊肉，一直吃到下午。	同义：enjoy, festival, banquet	
vision	/ˈvɪʒən/	n.  想象力， 梦幻； 视力， 视觉	She suffered temporary loss of vision after being struck on the head.	她头部受撞击以后出现暂时性失明。	同义：sight, image	同根：visual  视觉的，视力的；栩栩如生的；visible  明显的；看得见的；现有的；可得到的；visionary  梦想的；幻影的
accompany	/əˈkʌmpəni/	v.  陪同， 伴随； 为…伴奏	Children under 14 must be accompanied by an adult.	14岁以下儿童必须有成人陪同。	同义：attend	同根：accompanied  伴随的；相伴的；accompanying  陪伴的；附随的；accompaniment  伴奏；伴随物
armor	/ˈɑrmɚ/	n.  盔甲， 装甲； 保护物			同义：mail	同根：armed  武装的；有扶手的；有防卫器官的（指动物）；armored  装甲的；arm  手臂；武器；袖子；装备
acceptance	/əkˈsɛptəns/	n.  接受， 承认； 容忍	He wrote a letter of acceptance (=  a letter in which you agree to accept a job, university place etc  ) to the university.	他给那所大学写了一封接受函。	同义：receiving	同根：acceptable  可接受的；合意的；可忍受的；accepted  公认的；录取的；可接受的；已承兑的；accepting  承兑的；易接受的；赞同的
beneficial	/,bɛnɪˈfɪʃl/	adj.  有利的， 有益的	a drug that has a beneficial effect on the immune system	有益于免疫系统的一种药物	同义：helpful	同根：benefic  有益的；beneficially  受益地；获利地；有使用权地；benefit  利益，好处；救济金
paradise	/ˈpærəˈdaɪs/	n.  天堂， 乐园	The market is a shopper’s paradise.	这个市场是购物者的乐园。	同义：heaven	同根：paradisaical  天堂的；乐园的；天堂似的；paradisal  （似）天堂的，（似）乐园的；paradisiacal  乐园的；天堂的；天堂似的
tackle	/ˈtækl/	vt. 对付，处理；与…交涉；阻截，擒抱 n.  阻截， 擒抱； 用具， 钓具； 辘轳， 滑车	There is more than one way to tackle the problem.	解决这个问题不止一个办法。	同义：equipment, grasp	同根：tacking  定位焊；紧钉；顶风转向；tackler  做抓和揪动作的人；阻截队员；抱住并摔倒对方抱球队员者；tacking  固定住；暂时缝上；附加；改变航向（tack的ing形式）
reckon	/ˈrɛkən/	vt.  认为， 估计； 指望， 盼望； 测算， 测量	‘There’s nothing we can do about it.’ ‘You reckon (= used to express doubt or disagreement ) ?’	“这件事我们无能为力。”“是吗？”	同义：expect, estimate	同根：reckoning  计算；清算；算帐；reckoner  计算手册；计算者；清算人；reckoning  计算；认为；指望（reckon的ing形式）
confusion	/kənˈfjʊʒən/	n.  困惑， 糊涂； 混淆； 骚乱	To avoid confusion, the teams wore different colours.	为了避免混淆，各队穿着不同颜色的服装。	同义：chaos	同根：confused  困惑的；混乱的；糊涂的；confusing  混乱的；混淆的；令人困惑的；confusable  可能被混淆的；可能被弄糊涂的
distract	/dɪˈstrækt/	vt.  转移， 使分心	Try not to distract the other students.	尽量不要让其他学生分心。	同义：shift	同根：distracted  心烦意乱的；思想不集中的；distractedly  心烦意乱地；distraction  注意力分散；消遣；心烦意乱
hinge	/hɪndʒ/	vi.  以…为转移 n. 铰链 vt. 装铰链	Your arm should hinge from the shoulder.	你的手臂应该像从肩膀铰链住一般。	同义：key	
virtual	/ˈvɝ​tʃʊəl/	adj.  实质上的， 事实上的， 实际上的	Argentina came to a virtual standstill while the game was being played.	阿根廷在比赛进行期间全国上下事实上进入了停顿状态。	同义：valid	同根：virtually  事实上，几乎；实质上
squeeze	/skwiz/	v. 压榨，挤 n.  榨取， 勒索	She smiled as he squeezed her hand.	他捏了捏她的手，她笑了。	同义：force one's way, compression	同根：squeezing  挤压的；压榨的；squeezable  可压缩的；可压榨的；squeezing  压榨；推挤；挤出酌；轧水
blank	/blæŋk/	adj. 空白的；茫然的，无表情的 n.  空白； 空白表格	Leave the last page blank .	最后一页留空。	同义：flat, gap, fuzz up, disappear	同根：blankly  茫然地；毫无表情地；茫然若失；blankness  空白；空虚；单调
additional	/əˈdɪʃənl/	adj.  附加的， 追加的	Additional information can be obtained from the centre.	可以从中心获取更多信息。	同义：attached	同根：additive  附加的；[数] 加法的；addable  可增加的；addible  可增加的，可添加的
worthy	/wɜði/	adj.  有价值的， 值得的	Leeds United were worthy winners of the competition.	利兹联队是比赛当之无愧的获胜者。	同义：valuable, out-and-outer	同根：worth  值…的；worthwhile  值得做的，值得花时间的；worthless  无价值的；不值钱的；卑微的
primarily	/praɪˈmɛrəli/	adv.  首先， 主要地	The advertisement is aimed primarily at children.	这则广告的对象主要是儿童。	同义：firstly	同根：primary  主要的；初级的；基本的；prime  主要的；最好的；基本的；primal  原始的；主要的；最初的
telecommunications	/ˈtɛləkəˈmjʊnəˈkeʃənz/	n.  通信， 电信	a new telecommunications system	新的电信系统	同义：communication	
ferry	/ˈfɛri/	n. 渡船 vt.  渡运	They had recrossed the River Gambia by ferry.	他们乘船又一次渡过了冈比亚河。	同义：lift	同根：ferryboat  渡船；ferrying  转场飞行速率；ferryman  渡船夫；摆渡者
ignore	/ɪɡˈnɔr/	vt.  不顾， 不理； 忽视	You can’t ignore the fact that many criminals never go to prison.	你不能无视很多罪犯从未获刑的事实。	同义：neglect	同根：ignored  被忽视的；被忽略的；ignorantly  无知地；不学无术地；ignorance  无知，愚昧；不知，不懂
hemisphere	/ˈhɛmɪsfɪr/	n.  地球的半球； 大脑半球	the Northern hemisphere	北半球	同义：semisphere	同根：hemispherical  半球的；半球状的；hemispheric  半球的，半球形状的
reception	/rɪˈsɛpʃən/	n.  招待会， 欢迎会； 接受， 接纳； 接待， 迎接； 接收效果	She was unsure of her reception after everything that had happened.	发生了这些事后，她对自己是否还受欢迎没把握。	同义：reaction	同根：received  被一般承认的；被认为标准的；receptive  善于接受的；能容纳的；receptively  容纳地；感受
outward	/ˈaʊtwɚd/	adv.  向外地 adj. 外面的，外表的	The top door opened outward.	最上面的门向外开着。	同义：outer, forth, person	同根：out  外面的；出局的；下台的；outer  外面的，外部的；远离中心的；outing  远足适用的
lunar	/ˈlunɚ/	adj.  月的， 月球的	studies of the lunar surface	对月球表面的研究	同义：silver	同根：lunation  阴历月
poetry	/ˈpoətri/	n.  诗， 诗歌， 诗集	He reads a lot of poetry.	他大量阅读诗歌。	同义：poem	同根：poetic  诗的，诗歌的；诗意的；诗人的；poetically  用韵文；有诗意地；poetic  诗学，诗论
jury	/ˈdʒʊri/	n.  陪审团， 评奖团	the members of the jury	陪审团成员	同义：quick-fix	同根：juror  审查委员，陪审员；juryman  陪审员；jurywoman  女陪审员
arrogant	/ˈærəɡənt/	adj.  傲慢的， 自大的	He was unbearably arrogant.	他的傲慢让人无法忍受。	同义：haughty	同根：arrogantly  傲慢地；自大地；arrogance  自大；傲慢态度；arrogation  诈称；僭越；霸占
idiot	/ˈɪdɪət/	n.  白痴； 傻子， 笨蛋	It was all your fault, you idiot.	全是你的错，你这笨蛋。	同义：simple	同根：idiotic  白痴的；愚蠢的；idiotically  白痴地
relay	/rɪˈle/	n. 接力赛；中继转播 vt.  传送， 传达， 转述； 中继转播	the 100 metres relay	一百米接力赛	同义：take sth over, realy, retransmit	
priest	/prist/	n.  神父， 牧师	He had trained to be a Catholic priest.	他接受培训成了一名天主教神父。	同义：minister	同根：priestly  祭司的；僧侣的；似教士的；priestlike  僧侣的；似教士的；祭司的；priesthood  祭司职；神职；僧职
